poid,name,department
3546,"Africana Studies Humanities Track, B.A.",Africana Studies Program
3547,"Africana Studies Social Sciences Track, B.A.",Africana Studies Program
3464,"Anthropology, B.A.",Anthropology
3468,"Art History, B.A.",Art
3467,"Studio Art, B.A.",Art
3469,"Asian Studies, B.A.",Asian Studies
3470,"Chinese Studies, B.A.",Asian Studies
3471,"Japanese Studies, B.A.",Asian Studies
3466,"Biology, B.A.",Biology
3465,"Biology, B.S. Biomedical Sciences track",Biology
3539,"Biology, B.S. Cell and Molecular Biology track",Biology
3540,"Biology, B.S. Environmental and Conservation Biology track",Biology
3541,"Biology, B.S. Integrative Biology track",Biology
3472,"Accounting, B.A.",Business and Accounting
3553,"Business Administration, B.A.",Business and Accounting
3475,"Chemistry, Biochemistry Track, B.S.",Chemistry
3474,"Chemistry, Environmental Chemistry Track, B.S.",Chemistry
3473,"Chemistry, Standard Track, B.S.",Chemistry
3476,"Classics, Historical Language and Literature Track, B.A.",Classics
3543,"Classics, Information, Tradition, and Text Track, B.A.",Classics
3542,"Communication and Media Studies, B.A.",Communication Studies
3605,"Communication Studies, B.A.",Communication Studies
3477,"Strategic Communication and Advocacy, B.A.",Communication Studies
3544,"Computer Science, B.A.",Computer Science
3478,"Computer Science, B.S.",Computer Science
3479,"Information Technology, B.A.",Computer Science
3480,"Information Technology, B.S.",Computer Science
3481,"Earth and Environmental Science, B.A.","Earth, Environmental, and Sustainability Sciences"
3482,"Earth and Environmental Science, B.S.","Earth, Environmental, and Sustainability Sciences"
3483,"Sustainability Science, B.S.","Earth, Environmental, and Sustainability Sciences"
3484,"Economics, B.A.",Economics
3554,"Mathematics-Economics, B.A.",Economics
3555,"Mathematics-Economics, B.S.",Economics
3485,"Education, B.A. (Teaching in Grades 2-6)",Education
3531,"Educational Studies, B.A.",Education
3532,Teaching in Grades PK-12,Education
3486,"English, Literature and Language Track, B.A.",English
3537,"English, Writing Track B.A.",English
3487,"Health Sciences, B.A.",Health Sciences
3488,"Health Sciences, B.S.",Health Sciences
3534,"Public Health, B.A.",Health Sciences
3535,"Public Health, B.S.",Health Sciences
3489,"History, B.A.",History
3490,Africana Studies Minor,Interdisciplinary Studies
3491,Ancient Greek and Roman Studies Minor,Interdisciplinary Studies
3548,Data Analytics Minor,Interdisciplinary Studies
3557,Digital Ethics Minor,Interdisciplinary Studies
3493,Environmental Studies Minor,Interdisciplinary Studies
3494,Film Studies Minor,Interdisciplinary Studies
3495,Humanities Minor,Interdisciplinary Studies
3552,Journalism Minor,Interdisciplinary Studies
3496,Latin American and Latinx Studies Minor,Interdisciplinary Studies
3492,Linguistics Minor,Interdisciplinary Studies
3530,"Medicine, Health and Culture Minor",Interdisciplinary Studies
3558,Medieval and Early Modern Studies Minor,Interdisciplinary Studies
3498,Middle East and Islamic Studies Minor,Interdisciplinary Studies
3545,Musical Theatre Minor,Interdisciplinary Studies
3501,Poverty Studies Minor,Interdisciplinary Studies
3504,Science Education Minor,Interdisciplinary Studies
3549,Visual Strategy Minor,Interdisciplinary Studies
3506,"Women’s, Gender, and Sexuality Studies Minor",Interdisciplinary Studies
3513,"Applied Mathematics, B.S.",Mathematics
3507,"Mathematics, B.A.",Mathematics
3508,"Mathematics, B.S.",Mathematics
3550,"Mathematics-Economics, B.A.",Mathematics
3551,"Mathematics-Economics, B.S.",Mathematics
3519,Military Science,Military Science
3520,"French, B.A.",Modern Languages and Literatures
3521,"German Studies, B.A.",Modern Languages and Literatures
3522,"Spanish, B.A.",Modern Languages and Literatures
3503,"Composition, B.M.",Music
3510,"Music Education, Choral Music Emphasis, B.M.",Music
3509,"Music Education, Instrumental, B.M.",Music
3502,"Music Theory, B.M.",Music
3497,"Music, B.A.",Music
3511,"Performance, Organ Emphasis, B.M.",Music
3512,"Performance, Piano Emphasis, B.M.",Music
3514,"Performance, Strings Emphasis, B.M.",Music
3515,"Performance, Vocal Emphasis, B.M.",Music
3516,"Performance, Wind or Percussion Emphasis, B.M.",Music
3499,"Neuroscience, B.S.",Neuroscience Program
3505,"Philosophy, B.A.",Philosophy
3518,"Dual-Degree Engineering Program, Applied Physics B.S.",Physics
3533,"Dual-Degree Engineering Program, Physics B.S.",Physics
3517,"Physics, B.S.",Physics
3524,"Politics and International Affairs, B.A.",Politics and International Affairs
3523,"Psychology, B.A.",Psychology
3526,"Psychology, B.S.",Psychology
3525,"Religion, B.A.",Religion
3527,"Sociology, B.A.",Sociology
3529,"Theatre Arts, B.A.",Theatre Arts
3556,"Theatre Studies, B.A.",Theatre Arts
3528,"Urban Studies, B.A.",Urban Studies Program
3538,"Women’s, Gender, and Sexuality Studies, B.A","Women’s, Gender, and Sexuality Studies"
