poid,department,name,degree_type,requirements
3546,Africana Studies Program,"Africana Studies Humanities Track, B.A.",B.A.,"A major in Africana Studies must include:
  AFS-100 Introduction to Africana Studies
  AFS-400 Africana Studies Capstone Course
  ANT-202 Peoples of Africa and the African Diaspora or HST 145

Methods:
Students pursuing an AFS major will often choose this field as a second major; therefore, they will satisfy the methods requirement in that major. Students who declare AFS as their primary major will satisfy the methods requirement with ANT-401.
  ANT-401 Anthropological Theory
  HST-475 Senior Seminar in History
  REL-401 Theory and Method in the Study of Religion *

Humanities track electives:
Must take three courses chosen from:
  ANT-202 Peoples of Africa and the African Diaspora
  ANT-302 Anthropology of Race and Ethnicity
  BIO-344 African Biodiversity and Conservation
  COM-350 Lenses on Africa
  COM-318 African American Rhetoric
  COM-323 Race, Class and Gender in Media
  ENG-346 American Slavery and the Novel
  ENG-292 African-American Drama
  ENG-293 Literature of the South
  FRN-445 African Novel in French
  HST-351 Travel Study in Africa
  HST-224 American Civil War Era
  HST-229 African-American Experience
  HST-235 The Civil Rights Movement
  HST-236 The United States South
  MLL-245 African Literature
  PHL-320 Critical Philosophy of Race
  PHL-270 Africana Philosophies
  PHL-265 Philosophy and Hip-Hop
  PSY-319 Stereotyping, Prejudice, & Discrimination
  REL-344 Black Liberation and Womanist Theologies
  REL-276 Religion and Black Popular Culture
  REL-232 African-American Religious History
  REL-233 Martin Luther King and the Religion of Social Reform

One course in Art or Music from:
  MUS-102 Introduction to Jazz
  MUS-220 Music and Culture

One Social Science course"
3547,Africana Studies Program,"Africana Studies Social Sciences Track, B.A.",B.A.,"A major in Africana Studies must include:
  AFS-100 Introduction to Africana Studies
  AFS-400 Africana Studies Capstone Course
  ANT-202 Peoples of Africa and the African Diaspora or HST 145

Methods:
Students pursuing an AFS major will often choose this field as a second major; therefore, they will satisfy the methods requirement in that major. Students who declare AFS as their primary major will satisfy the methods requirement with ANT-401.
  POL-150 Introduction to Political Analysis
  PSY-201 Research Methods in Psychology *
  SOC-303 Quantitative Research Seminar *
  SOC-304 Qualitative Research Seminar *

Social Sciences track electives:
Choose three courses from:
  BIO-344 African Biodiversity and Conservation
  ECN-237 Economics of Poverty and Inequality
  POL-204 Civil Rights and the United States Constitution
  POL-208 Urban Politics
  POL-209 Southern Politics
  POL-210 Interest Groups and Political Movements
  POL-211 Racial and Ethnic Politics
  POL-219 Crime and Policing
  POL-224 Politics of Africa
  POL-274 Black Political Thought
  POL-442 Issues in African Politics
  PSY-319 Stereotyping, Prejudice, & Discrimination
  SOC-223 Urban Community
  SOC-243 Race and Ethnic Relations
  SOC-251 Social Movements and Collective Behavior

One course in Art or Music from:
  MUS-102 Introduction to Jazz
  MUS-220 Music and Culture

One Humanities course"
3464,Anthropology,"Anthropology, B.A.",B.A.,"A major in anthropology consists of nine four-credit courses (36 credits) and must include:
  ANT-101 Introduction to Anthropology
  ANT-105 Introduction to Archaeology
  ANT-304 Archaeology Method and Theory or ANT-305 Practicing Anthropology
  ANT-401 Anthropological Theory

At least two courses numbered between 200 and 299 from the following
  ANT-202 Peoples of Africa and the African Diaspora
  ANT-203 Peoples and Cultures of the World
  ANT-204 Modern Japanese Society through Films
  ANT-205 Japanese Popular Culture
  ANT-230 Biological Anthropology
  ANT-250 Race and the US Criminal Justice System
  ANT-253 Anthropology of Development in Latin America
  ANT-254 The Power and Politics of Black Foodways
  ANT-258 Women in Africa and the African Diaspora
  ANT-262 Magic and Religion
  ANT-263 Environmental Anthropology
  ANT-264 Psychological Anthropology
  AST-215 Archaeology of East Asia
  AST-240 Archaeology of the Silk Road
  AST-250 Human Development in Contemporary Asia
  AST-270 Languages of Asia
  CLS-211 Classical Archaeology
  JPN-225 Japanese Cinema
  LNG-210 General Linguistics
  LNG-220 Linguistic Analysis
  LNG-230 Language as Cultural Phenomenon
  LNG-240 The Origin of Language
  REL-223 Hindu Cultures and Religious Worlds
  REL-227 Religions of South Asia

And, at least one additional course numbered between 300 and 399 from the following
  ANT-302 Anthropology of Race and Ethnicity
  ANT-304 Archaeology Method and Theory
  ANT-305 Practicing Anthropology
  ANT-327 Feminist Anthropology
  REL-325 Women and Power in Hinduism
  SUS-320 Consumption and Culture
  SUS-325 Conservation and Communities

Additional Requirements"
3468,Art,"Art History, B.A.",B.A.,"Majors must complete:
  ART-135 Understanding Art: Connecting Objects & Histories
  ART-360 Problematizing the Canon
  ART-340 Curatorial Issues and Practices or ART-350 Methodologies of Art History or HUM-502 Humanities Lab , and

First-Year Students
If you are interested in exploring classes within this department, here are some possibilities to consider:
Entry Level Courses with GER: VP ( Visual and Performing Arts)
  ART-111 Introduction to Design
  ART-112 Introduction to Sculpture
  ART-113 Introduction to Painting
  ART-124 Introduction to Drawing
  ART-135 Understanding Art: Connecting Objects & Histories"
3467,Art,"Studio Art, B.A.",B.A.,"Majors must complete:
  ART-111 Introduction to Design
  ART-112 Introduction to Sculpture
  ART-113 Introduction to Painting
  ART-124 Introduction to Drawing
  ART-135 Understanding Art: Connecting Objects & Histories
  ART-205 Darkroom Photography or ART-206 Digital Photography
  ART-299 Studio Practicum (must be in residence)
  ART-401 Studio Seminar I (must be in residence)
  ART-402 Studio Seminar II (must be in residence)

12 credits of elective courses:
Select 4 credits from Studio Art, 4 credits from Art History, and 4 additional credits from either Studio Art or Art History

Studio Art
  ART-200 Introduction to Ceramics
  ART-201 Themes in Ceramics
  ART-204 Themes in Painting
  ART-205 Darkroom Photography
  ART-206 Digital Photography
  ART-207 Printmaking
  ART-210 Themes in Sculpture
  ART-211 Commercial Photography
  ART-215 Study Away Photography
  ART-221 Editorial Layout and Design
  ART-222 Media Art
  ART-223 Typography
  ART-225 Digital Illustration
  ART-226 Themes in Drawing
  ART-501 Independent Study
  ART-503 Individualized Internship

Art History
  ART-246 Twentieth Century Art
  ART-251 Contemporary Art Since 1960
  ART-252 Women and the Arts
  ART-253 Art & Death
  ART-254 History of Photography
  ART-255 Living in a Material World: Unexpected Art Objects
  ART-256 Art & Politics
  ART-257 The Revolution of Print
  ART-258 Embodied Representations: Art, Bodies, & Identities
  ART-259 History of Design
  ART-263 Arts of Japan
  ART-265 Museums Are Not Neutral

4 additional credits of upper-level Studio Art:
  ART-300 3D Portfolio
  ART-301 Life Studies
  ART-302 2D Portfolio
  ART-303 Photographic Essay
  ART-320 Brand Design
  ART-321 Logos and Symbols

First-Year Students
If your are interested in exploring classes within this department, here are some possibilities to consider:
Entry Level Courses with GER: VP (Visual and Performing Arts)
  ART-111 Introduction to Design
  ART-112 Introduction to Sculpture
  ART-113 Introduction to Painting
  ART-124 Introduction to Drawing
  ART-135 Understanding Art: Connecting Objects & Histories
  ART-200 Introduction to Ceramics
  ART-205 Darkroom Photography
  ART-206 Digital Photography"
3469,Asian Studies,"Asian Studies, B.A.",B.A.,"To successfully fulfill major requirements, students must complete at least twelve courses (48 credits), from at least four different prefixes and focusing on at least three different regions (China, Japan, South Asia, or Pan-Asia) including:
  AST-470 Seminar in Asian Studies
  AST-200 Introduction to Asian Studies

Ten courses (40 credits) drawn from the following (including at least three non-language courses):
  CHN-110 Elementary Chinese I
  CHN-120 Elementary Chinese II
  CHN-201 Intermediate Chinese I
  CHN-202 Intermediate Chinese II
  CHN-301 Intermediate Chinese III
  CHN-302 Intermediate Chinese IV
  CHN-401 Advanced Chinese I
  CHN-402 Advanced Chinese II
  CHN-403 Chinese through Film and Media
  CHN-404 Classical Chinese
  JPN-110 Elementary Japanese I
  JPN-120 Elementary Japanese II
  JPN-201 Intermediate Japanese I
  JPN-202 Intermediate Japanese II
  JPN-301 Intermediate Japanese III
  JPN-302 Intermediate Japanese IV
  JPN-401 Advanced Japanese I
  JPN-402 Advanced Japanese II
  JPN-403 Advanced Japanese III
  JPN-404 Advanced Japanese IV
  ANT-204 Modern Japanese Society through Films
  ANT-205 Japanese Popular Culture
  ANT-209 Gender in East Asia
  ART-263 Arts of Japan
  AST-215 Archaeology of East Asia
  AST-220 Ramayana
  AST-221 South Asian Music and Popular Culture
  AST-225 Premodern Literature of India
  AST-240 Archaeology of the Silk Road
  AST-250 Human Development in Contemporary Asia
  AST-255 Poverty, Gender and Development in India
  AST-260 Environment and Health in India
  AST-270 Languages of Asia
  CHN-225 Chinese Film
  CHN-230 Survey of Chinese Literature
  CHN-235 Classic Chinese Fiction
  CHN-240 Chinese Civilization
  CHN-245 Twentieth Century Chinese Literature
  CHN-246 Twentieth Century Chinese Popular Fiction
  CHN-320 Travel Study in Chinese Culture
  ECN-245 Development Economics
  HST-155 South Asia in the Ancient and Early Modern World
  HST-156 India in the Modern World
  HST-161 Japan in the Ancient and Early Modern World
  HST-162 Japan in the Modern World
  HST-165 China in the Ancient and Early Modern World
  HST-166 China in the Modern World
  HST-256 Women and Gender in India
  HST-268 Twentieth Century China
  HST-355 Travel Study in India
  JPN-225 Japanese Cinema
  JPN-235 Classical Japanese Literature
  JPN-245 Modern Japanese Literature
  PHL-220 Realizing Bodymind
  PHL-230 Indian Philosophy
  PHL-240 Chinese Philosophy
  PHL-250 Japanese Philosophy
  POL-226 Politics of China
  POL-229 Politics of Asia
  REL-223 Hindu Cultures and Religious Worlds
  REL-224 Introduction to Buddhism
  REL-227 Religions of South Asia
  REL-320 Sexuality and Gender in Buddhism
  REL-325 Women and Power in Hinduism
  REL-328 Religions in Japan"
3470,Asian Studies,"Chinese Studies, B.A.",B.A.,"Majors must complete AST-200 plus at least eleven courses (44 credits) focused on China, with at least four courses having a prefix other than CHN. The following courses are required for all majors:
  AST-200 Introduction to Asian Studies
  AST-470 Seminar in Asian Studies (focused on China)

At least three Chinese language courses beyond CHN 201:
  CHN-110 Elementary Chinese I
  CHN-120 Elementary Chinese II
  CHN-201 Intermediate Chinese I
  CHN-202 Intermediate Chinese II
  CHN-301 Intermediate Chinese III
  CHN-302 Intermediate Chinese IV
  CHN-401 Advanced Chinese I
  CHN-402 Advanced Chinese II

At least three China focused courses (12 credits) from the following:
  AST-215 Archaeology of East Asia
  AST-240 Archaeology of the Silk Road
  CHN-225 Chinese Film
  CHN-230 Survey of Chinese Literature
  CHN-235 Classic Chinese Fiction
  CHN-240 Chinese Civilization
  CHN-245 Twentieth Century Chinese Literature
  CHN-246 Twentieth Century Chinese Popular Fiction
  CHN-320 Travel Study in Chinese Culture
  CHN-403 Chinese through Film and Media
  CHN-404 Classical Chinese
  HST-165 China in the Ancient and Early Modern World
  HST-166 China in the Modern World
  HST-268 Twentieth Century China
  PHL-240 Chinese Philosophy
  POL-226 Politics of China
  POL-443 Issues in Chinese Politics

Only 1 of the following Pan-Asian courses may count toward the total of 12 courses:
  ANT-209 Gender in East Asia
  AST-250 Human Development in Contemporary Asia
  AST-270 Languages of Asia
  PHL-220 Realizing Bodymind
  POL-229 Politics of Asia
  REL-320 Sexuality and Gender in Buddhism
  REL-224 Introduction to Buddhism"
3471,Asian Studies,"Japanese Studies, B.A.",B.A.,"Majors must complete AST-200 plus at least eleven courses (44 credits) focused on Japan, with at least four courses having a prefix other than JPN. The following courses are required for all majors:
  AST-200 Introduction to Asian Studies
  AST-470 Seminar in Asian Studies (focused on Japan)

At least three Japanese courses beyond JPN 201:
  JPN-110 Elementary Japanese I
  JPN-120 Elementary Japanese II
  JPN-201 Intermediate Japanese I
  JPN-202 Intermediate Japanese II
  JPN-301 Intermediate Japanese III
  JPN-302 Intermediate Japanese IV
  JPN-401 Advanced Japanese I
  JPN-402 Advanced Japanese II
  JPN-403 Advanced Japanese III
  JPN-404 Advanced Japanese IV

At least three Japan focused courses (12 credits) from the following:
  ANT-204 Modern Japanese Society through Films
  ANT-205 Japanese Popular Culture
  ART-263 Arts of Japan
  HST-161 Japan in the Ancient and Early Modern World
  HST-162 Japan in the Modern World
  JPN-225 Japanese Cinema
  JPN-235 Classical Japanese Literature
  JPN-245 Modern Japanese Literature
  PHL-250 Japanese Philosophy
  REL-328 Religions in Japan

Only 1 of the following Pan-Asian courses may count toward the total of 12 courses:
  ANT-209 Gender in East Asia
  AST-250 Human Development in Contemporary Asia
  AST-270 Languages of Asia
  PHL-220 Realizing Bodymind
  POL-229 Politics of Asia
  REL-224 Introduction to Buddhism
  REL-320 Sexuality and Gender in Buddhism"
3466,Biology,"Biology, B.A.",B.A.,"To fulfill major requirements, students must successfully complete ten or more biology courses, each of which must be at least three credits, and include:
  BIO-111 Foundations of Biology
  BIO-210 Genetics or BIO-211 Molecular Genetics or BIO-212 Human Genetics or BIO-213 Population Genetics and Evolution
  BIO-222 Research and Analysis
  One capstone course: BIO-501 Independent Study or BIO-503 Individualized Internship or BIO-508 Supervised Research or BIO-510 Thesis
  BIO-075 Seminar in Biology

at least one course from two of the following three groups:

Cell and Molecular Biology
  BIO-300 Cell Biology
  BIO-301 Microbiology
  BIO-303 Biochemistry of the Cell
  BIO-425 Developmental Biology
  BIO-445 Genomics and Bioinformatics
  BIO-450 Microanatomy
  BIO-455 Neurochemistry
  BIO-460 Neurobiology
  BIO-470 Immunology

Physiology
  BIO-320 Animal Physiology
  BIO-321 Plant Physiology
  BIO-322 Human Physiology

Ecology and Environmental Biology
  BIO-340 Ecology
  BIO-343 Environmental Systems
  BIO-344 African Biodiversity and Conservation
  BIO-345 Field Ecology
  BIO-346 Forest Ecology
  BIO-430 Conservation Biology
  BIO-431 Landscape Ecology and Conservation
  BIO-434 Ecology and Management of Great Smoky Mountains
  BIO-435 Agroecology

Additional requirements

Further Considerations
Substitutions
B.A. students whose career preparations require successful completion of science and mathematics courses outside of biology may substitute one course from those areas for certain biology courses with the approval of the department chair.  Moreover, two 2-credit biology courses numbered 200 or greater completed during the May Experience can be combined to fulfill one of the elective course requirements for either the B.A. or B.S. degree."
3465,Biology,"Biology, B.S. Biomedical Sciences track",B.S.,"Biomedical Sciences track
Biomedical Sciences (BMS) Track

To fulfill BMS track requirements, students must complete ten or more biology courses, each of which must be at least three credits. They must also complete three chemistry courses for a total of 13 credit-bearing science courses:
  BIO-111 Foundations of Biology
  BIO-222 Research and Analysis
  One capstone course: BIO-503 Individualized Internship or BIO-508 Supervised Research or BIO-510 Thesis
  BIO-075 Seminar in Biology

at least one course from each of the following four groups:

Genetics
  BIO-210 Genetics
  BIO-211 Molecular Genetics
  BIO-212 Human Genetics
  BIO-213 Population Genetics and Evolution

Cell and Molecular Biology
  BIO-300 Cell Biology
  BIO-301 Microbiology
  BIO-303 Biochemistry of the Cell
  BIO-425 Developmental Biology
  BIO-445 Genomics and Bioinformatics
  BIO-450 Microanatomy
  BIO-455 Neurochemistry
  BIO-460 Neurobiology
  BIO-470 Immunology

Physiology
  BIO-320 Animal Physiology
  BIO-321 Plant Physiology
  BIO-322 Human Physiology

Ecology and Environmental Biology
  BIO-340 Ecology
  BIO-343 Environmental Systems
  BIO-344 African Biodiversity and Conservation
  BIO-345 Field Ecology
  BIO-346 Forest Ecology
  BIO-430 Conservation Biology
  BIO-431 Landscape Ecology and Conservation
  BIO-434 Ecology and Management of Great Smoky Mountains
  BIO-435 Agroecology

Additional requirements
  CHM-110 Foundations of Chemistry or CHM-111 General Chemistry - Exam Equivalency
  CHM-115 Kinetics, Thermodynamics and the Environment
  CHM-120 Organic Chemistry I

Further Considerations
Substitutions
BMS Students whose career preparations require successful completion of science and mathematics courses outside of biology may substitute one course from those areas for certain biology courses with the approval of the department chair.  Moreover, two 2-credit biology courses numbered 200 or greater completed during the May Experience can be combined to fulfill one of the elective course requirements for either the B.A. or B.S. degree."
