Name,Date,Description
About CLPs,,"A CLP (Cultural Life Program) is Furman University's program that encourages students to attend a variety of high-quality cultural, artistic, and intellectual events. Students are required to earn a set number of CLP credits to graduate, exposing them to diverse perspectives and enriching experiences outside the classroom."
Law and Leadership Worldwide,"Thursday, January 15, 2026, 5 - 6:30pm EST","Furman University's annual student program honoring the life and legacy of Dr. Martin Luther King Jr will be held on Thursday, January 15, 2026. This fireside chat guest is Justice Leona Theron, an eminent jurist and women's rights advocate from South Africa. The event is open to Furman alumni, students, faculty, staff, and friends of the University.

Sponsor(s): Franklin Ellis

"
Kinoshita Kabuki Kanjincho,"Thursday, January 15, 2026, 7:30 - 9:30pm EST","Kinoshita Kabuki Kanjincho Dress Rehearsal with a Q&A by the founder of Kinoshita Kabuki himself about this innovative reinterpretation of the famous Kabuki play, which depicts a tragic 12th-century hero, Yoshitsune, as Benkei, his loyal monk-samurai, who disguises their group as monks to pass the Ataka barrier. Based on the Noh play Ataka, it highlights loyalty, deception, and tense verbal sparring with the guard Togashi, and has become one of kabuki's most iconic, dynamic classics.

Sponsor(s): Shusuke Yagi

"
Building the Beloved Community,"Friday, January 16, 2026, 8 - 10am EST","Furman University's annual Community Breakfast honoring the life and legacy of Dr. Martin Luther King Jr. will be held on Friday, January 16, 2026. This year's keynote speaker is Justice Leona Theron, an eminent jurist and women's rights advocate from South Africa. The event is open to Furman alumni, students, faculty, staff, and friends of the university.

Sponsor(s): Chandra Dillard

"
Hearts of Glass CLP,"Wednesday, January 21, 2026, 5 - 7pm EST","Join the Furman Institutes for a compelling evening that brings together film, conversation, and community. The event will feature a special screening of Hearts of Glass, an award-winning documentary about entrepreneurship, sustainability, disability inclusion, health and well-being, and community impact. Following the screening, we will host a dynamic panel discussion with the Executive Directors of the Furman University Institutes, the film's director, and voices featured in the film. Together, we will consider how the stories and ideas in the documentary can inspire meaningful dialogue, action, and change. The event will serve as a platform to thoughtfully examine how the themes and issues presented in the documentary intersect with the specific needs, challenges, and aspirations of our local community. By fostering informed dialogue and encouraging the exchange of ideas, the discussion aims to inspire collaborative efforts, promote civic engagement, and identify actionable steps that can lead to meaningful, lasting improvements in the well-being and resilience of our community.

Sponsor(s): Loretta Crowley

"
Measuring Fairness in Electoral Maps,"Wednesday, January 21, 2026, 5 - 6pm EST","In this session, Dr. Casey Hawthorne (Mathematics) and Dr. Glen Halva-Neubauer (Politics and International Affairs) will examine gerrymandering, bringing together mathematical tools and political analysis. The goal of this discussion is to explore methods for measuring and mitigating gerrymandering. The professors will begin with a brief history of key legislation and court cases that have regulated the practice. They will then examine different ways scholars have evaluated the fairness of various maps. Much of the discussion will center on the upcoming Supreme Court case, Louisiana v. Callais, which will determine the continued role of the Voting Rights Act in the future of gerrymandering. Following the presentation, students will participate in structured small-group discussions, offering an opportunity to reflect on the material, share diverse viewpoints, and connect the topic to their roles as civic participants.

Sponsor(s): David Fleming

"
The Science of Balance: Work-Family,"Thursday, January 22, 2026, 5 - 6pm EST","What is work-life balance and why does it matter for our well-being, our workplaces, and the science of human behavior? In this talk, Dr. Julie Wayne - an Industrial/Organizational psychologist, Professor, and David C. Darnell Presidential Chair in Principled Leadership at Wake Forest - will trace the evolution of work-family research, sharing how her own thinking has developed alongside the field and highlighting the evidence we know today. She will discuss a project in which she is developing a video-based intervention to help people better self-regulate and build healthier balance between work and life. Together, we'll explore the past, present, and future of this important area where psychological science informs everyday practice.

Sponsor(s): Grace Binion, Adam Putnam

"
Jessica Lambert - artist talk,"Thursday, January 29, 2026, 5 - 6pm EST","Jessica Lambert will discuss her current exhibition, Sportsball, on view at the Thompson Art Gallery. Her work explores competition, endurance, and sports through physically demanding performances and playfully constructed sculptures. By blurring the lines between athlete/artist, studio/gym, and exhibition/arena, she create a space for viewers to take on the role of spectators, fans, or athletes. The project is influenced by her experiences as a former D1 athlete and watching football, basketball, and volleyball. A reception of food and drink will precede the CLP, starting at 4:30pm. Students only need to attend the artist talk to earn CLP credit.

Sponsor(s): Stephen Mandravelis

"
"Church Music Conference ""Big Sing""","Thursday, January 29, 2026, 6 - 7pm EST","The 2026 Furman University Church Music Conference and Residency will feature a celebration of Black Sacred Music with a special focus on the contributions of Andrae Crouch and his influence on gospel music and how his work impacted so many other musical genres. Guest Headliners and presenters for this conference include Dr. Stephen Newby and Dr. Robert Darden and their work leading to the release and tour of ""Soon and Very Soon: The Transformative Music and Ministry of Andrae Crouch"" (https://soonandverysoontour.com/) alongside musicologist and theorist Dr. Horace Maxile, composer Reginal Wright, vocalist Sylvia Jones, and Furman alumnus Tyrese Byrd '20.

Sponsor(s): Stephen Gusukuma

"
The Story of Black History Month,"Monday, February 2, 2026, 5:30 - 6:30pm EST","Remembering, Reframing, and Reclaiming: The Story of Black History Month is a panel-style event designed to provide Furman students with insight into the development and significance of Black History Month. The panel will feature faculty and students, including Dr. Kaniqua Robinson, Dr. Holly Pinheiro, Tanu Madhavara, Laken Robinson, and Gabrielle Harvey. Through insightful responses from these panelists, attendees will gain a well-rounded understanding of the essence of Black History Month from multiple perspectives. This event is intended to kick off Black History Month activities at Furman University.

Sponsor(s): Kaniqua Robinson

"
