name,org_name,starts_on,ends_on,location,categories,theme,description
Recruitment Retreat,Alpha Delta Pi,2026-12-20T15:00:00+00:00,2026-12-20T20:00:00+00:00,Watkins,,ThoughtfulLearning,Recruitment training for the Eta Phi chapter.
Blood Drive,Beta Theta Pi,2026-09-15T13:00:00+00:00,2026-09-16T21:00:00+00:00,Joseph Vaughn Plaza,Greek Life Event,CommunityService,"Join Beta Theta Pi for our quarterly Blood Drive with Oneblood - right on the library patio. Appointments can be made the week before, or by walk-in appointment. Save a life with Beta - and make an impact beyond yourself."
Sigma Alpha Epsilon Chapter,Sigma Alpha Epsilon,2026-05-10T22:30:00+00:00,2026-05-11T00:00:00+00:00,Johns 212,Greek Life Event,GroupBusiness,Weekly chapter meeting for the SC Phi chapter of Sigma Alpha Epsilon
FUGC Senior Night,Furman University Grill Club,2026-05-07T16:00:00+00:00,2026-05-08T00:00:00+00:00,GPAV,,Social,Join us for a final grill night with our seniors
Sigma Alpha Epsilon Chapter,Sigma Alpha Epsilon,2026-05-03T22:30:00+00:00,2026-05-04T00:00:00+00:00,Johns 212,Greek Life Event,GroupBusiness,Weekly chapter meeting for the SC Phi chapter of Sigma Alpha Epsilon
Contra Dance,Furman University Social Dance Society,2026-04-29T23:00:00+00:00,2026-04-30T00:00:00+00:00,Furman Campus,,Arts,Contra Dance at Furman! check the GroupMe for more information.
RLC weekly meeting,Residential Life Council,2026-04-29T21:30:00+00:00,2026-04-29T22:30:00+00:00,FUR-214,,GroupBusiness,Our weekly general body meeting preceded by RLC exec meeting.
Sigma Nu Chapter,Sigma Nu,2026-04-27T23:00:00+00:00,2026-04-28T00:00:00+00:00,Patrick Lecture Hall,,GroupBusiness,"Regular meeting of the Sigma Nu chapter focused on updates, announcements, and discussions that support chapter operations, member development, and fraternity activities."
Sigma Nu EC Meeting,Sigma Nu,2026-04-27T22:00:00+00:00,2026-04-27T23:00:00+00:00,Patrick Lecture Hall,,GroupBusiness,"Weekly meeting for Sigma Nu’s Executive Committee to coordinate leadership efforts, review chapter operations, and plan upcoming initiatives and events."
SGA Weekly Council Meeting,Student Government Association,2026-04-27T22:00:00+00:00,2026-04-27T23:00:00+00:00,Watkin's Room,,GroupBusiness,New Business Meeting. Meetings are open to all members of the student body.
Greek Groove,Panhellenic Council,2026-04-07T23:00:00+00:00,2026-04-08T00:30:00+00:00,Furman Amphitheater,Greek Life Event,Social,Annual Greek Life event hosted by Panhellenic and IFC at which Greek organizations participate in a dance competition. Tickets to the event will be sold at the event.
Chi O Closet,Chi Omega,2026-04-07T15:00:00+00:00,2026-04-07T17:30:00+00:00,Joseph Vaughn Plaza,Greek Life Event,Fundraising,Shop through Chi Omega's closet to support Make-A-Wish! Chi Omega will be providing a thrift closet and hair tinsel to students. All proceeds will benefit Make-A-Wish. This event will be from 11:00-1:30 on April 7th!
Sigma Alpha Epsilon Chapter,Sigma Alpha Epsilon,2026-04-06T23:30:00+00:00,2026-04-07T00:30:00+00:00,Johns 212,Greek Life Event,GroupBusiness,Weekly chapter meeting for the SC Phi chapter of Sigma Alpha Epsilon
Sigma Nu Chapter,Sigma Nu,2026-04-06T23:00:00+00:00,2026-04-07T00:00:00+00:00,Patrick Lecture Hall,,GroupBusiness,"Regular meeting of the Sigma Nu chapter focused on updates, announcements, and discussions that support chapter operations, member development, and fraternity activities."
Chi Omega Chapter,Chi Omega,2026-04-06T22:30:00+00:00,2026-04-06T23:30:00+00:00,John's Hall,,Social,The members of Chi Omega meet weekly to discuss updates and happenings.
Sigma Nu EC Meeting,Sigma Nu,2026-04-06T22:00:00+00:00,2026-04-06T23:00:00+00:00,Patrick Lecture Hall,,GroupBusiness,"Weekly meeting for Sigma Nu’s Executive Committee to coordinate leadership efforts, review chapter operations, and plan upcoming initiatives and events."
SGA Weekly Council Meeting,Student Government Association,2026-04-06T22:00:00+00:00,2026-04-06T23:00:00+00:00,Watkin's Room,,GroupBusiness,Guest Speaker: Madgelyn Helwig & Jean Schwab (AI Task Force) New Business Meeting. Meetings are open to all members of the student body.
Chi Omega Executive Board meeting,Chi Omega,2026-04-05T23:00:00+00:00,2026-04-06T00:00:00+00:00,Furman Hall,Meeting,ThoughtfulLearning,This will be a weekly meeting where we will discuss upcoming events and plans for the week
Sigma Alpha Epsilon Chapter,Sigma Alpha Epsilon,2026-04-05T22:30:00+00:00,2026-04-06T00:00:00+00:00,Johns 212,Greek Life Event,GroupBusiness,Weekly chapter meeting for the SC Phi chapter of Sigma Alpha Epsilon
Pi Kappa Phi Chapter Meeting,Pi Kappa Phi - Delta Chapter,2026-04-05T23:00:00+00:00,2026-04-06T00:00:00+00:00,Watkins Room,Greek Life Event,GroupBusiness,"Our chapter will meet to discuss weekly programming, upcoming events, and review the past week."
Chess Club Meeting,Furman Chess Club,2026-03-20T21:00:00+00:00,2026-03-20T23:00:00+00:00,Riley 105,Special Interest,Social,Weekly meetings for casual chess on Fridays at 5 PM in Riley 105. All skill levels welcome!
Anthropology Club Smore's,Furman University Anthropology Club,2026-03-20T21:00:00+00:00,2026-03-20T22:30:00+00:00,Trone Point of View Fire Pit,Meeting; Special Interest,Social,"Come join us to hang out around the fire like humans have for thousands of years! While early humans may not have had smore's, we sure do (while supplies last)."
FUNC Radio Tabling,Furman University News Channel Radio,2026-03-20T15:30:00+00:00,2026-03-20T17:30:00+00:00,Joseph Vaughn Plaza,Meeting,Social,Tabling in front of the library for the FUNC Radio Big Bug Bash- our yearly Furman community music festival!
HOLA Fundraiser,Hispanic Outreach and Latine Awareness,2026-03-20T15:30:00+00:00,2026-03-20T17:30:00+00:00,Joseph Vaughn Plaza,Diversity and Inclusion ,Fundraising,"This fundraiser would be to raise funds for the HOLA organization. Would consist of baked store bought pasteries, hot drinks, coffee, and Mexican hot chocolate."
FUGE Weekly Rehearsal,Furman University Gospel Ensemble,2026-03-19T23:30:00+00:00,2026-03-20T01:30:00+00:00,DBM 003,,Arts,"The Gospel Ensemble rehearses every Thursday, at 7:30 pm."
RUF Large Group,Reformed University Fellowship,2026-03-20T00:00:00+00:00,2026-03-20T01:30:00+00:00,Hartness Pavillion,Religious,Spirituality,"Worship, fellowship, and Scripture in community!"
Wesley Bible Study,Furman Wesley Fellowship,2026-03-20T00:15:00+00:00,2026-03-20T01:15:00+00:00,Chapel Lounge,,Spirituality,"Join us as we discuss the Bible, all are welcome!!"
Weekly Meeting - Board Game Club,Ace of Clubs,2026-03-19T23:00:00+00:00,2026-03-20T01:00:00+00:00,Plyler 026,Meeting,Social,Weekly Meeting!
Wesley Freshman Group,Furman Wesley Fellowship,2026-03-19T21:30:00+00:00,2026-03-19T22:30:00+00:00,Paddock,Religious,Spirituality,Join us as we eat together in the Paddock!
GIS & Mapping Club General Body Meeting,GIS & Mapping Club,2026-03-19T21:30:00+00:00,2026-03-19T22:30:00+00:00,"Riley Hall, Room 103",Meeting,Social,"Did you know you can make your own maps using your phone? Join the GIS & Mapping Club at our general meeting in RLY 103. We will have free pizza and drinks, so come ready to have fun and mingle. This will also be a chance to hear about our upcoming campus mapping project and learn how you can help update the Furman campus map in the coming weeks (no experience needed). We hope to see you there, and do not forget to bring a friend!"
Corky's Dawg House and Hike,Furman University Outdoors Club,2026-02-21T15:30:00+00:00,2026-02-21T23:30:00+00:00,Rabbit Hole,,Social,"Hot dawgs. Need we say more? Join Officers Betsy, Eleanor, and Jonah on a jaw-dropping (culinary) adventure of a lifetime! We will be doing a 6-mile hike in Pisgah National Forest (beginners encouraged!), followed by a delectable, juicy, life-changing, extravagant, and gourmet dawg. 1 dawg on us. C u there. register on rec.furman.edu"
Breakfast Bound,Furman University Student Activities Board,2026-02-21T13:15:00+00:00,2026-02-21T15:00:00+00:00,Downtown Greenville,Social Programmatic,Social,This event offers students the opportunity to get a guided tour of Downtown Greenville’s most loved breakfast spots. The tour will take students to three different local spots for a full entree along with coffee or tea.
Ski Rave #2,"Sigma Chi, Iota Nu Chapter",2026-02-21T00:00:00+00:00,2026-02-21T03:00:00+00:00,Cats Pajamas,,Social,social gathering Ski themed
Chi Omega Crush,Chi Omega,2026-02-21T00:30:00+00:00,2026-02-21T02:30:00+00:00,Zen Greenville,,Social,Chi Omega Crush 1 date allowed food and drinks provided Occurring at Zen Greenville in the Lotus Lounge security and cash bar included with venue Uber transportation and 3-4 Chi Omega Advisors supervising drop-off and pickup
OFT Spring 24 Show Auditions,Order of Furman Theatre,2026-02-20T22:00:00+00:00,2026-02-21T02:00:00+00:00,The Playhouse Annex,Fine Arts,Arts,"Come and audition for OFT's Spring 24-show, Alice in Wonderland! Fill out this form https://forms.gle/xAC3vejuNdFsGEvZ7"
Winter Function,Delta Delta Delta,2026-02-20T23:30:00+00:00,2026-02-21T01:30:00+00:00,The Smokestacks at Judson Mill,Greek Life Event,Social,"Tri Delta's annual themed winter function. The theme this year is Spotify WrappeDDD - members and guests will dress up as their top artist on Spotify Wrapped, or their favorite artist. There will be catering and a cash bar."
Bachata Night,Hispanic Outreach and Latine Awareness,2026-02-20T22:00:00+00:00,2026-02-20T23:00:00+00:00,Furman Campus Recreation & Wellness (PAC) Room 201,,Cultural,HOLA is hosting a bachata night where Furman students learn how to dance bachata step-by-step.
Formal Dress Drive Donation and Rental Drop Off,Panhellenic Council,2026-02-20T15:45:00+00:00,2026-02-20T18:00:00+00:00,Greek Life Office in Trone in Student Org Commons,,Social,"We are hosting a dress drive for girls to donate or offer their dresses for rental for other girls to wear during the Greek life formal season! This is solely for dress drop-off, not shopping/selecting dresses yet!"
FUGE Weekly Rehearsal,Furman University Gospel Ensemble,2026-02-20T00:30:00+00:00,2026-02-20T02:30:00+00:00,DBM 003,,Arts,"The Gospel Ensemble rehearses every Thursday, at 7:30 pm."
