name,short_name,slug,status,visibility,category_names,description,summary
Ace of Clubs,AoC,aceofclubs,Active,Public,,"The Ace of Clubs brings together a variety of students who enjoy playing games, including board games, card games, word games, strategy games, online games, and more! We are a fun and welcoming environment, and we also have snacks!! We meet every Thursday night from 7-9 PM in Plyler 026.","Board Game club is an opportunity to escape the stresses of school, meet new people, learn new games, and have fun! We play a variety of games each week, from board games to card games to games online! Feel free to bring your games and your friends!"
Acts of Random Kindness Club,A.R.K Club,arkclub,Active,Public,Diversity and Inclusion;Community Service;Special Interest,"The mission of the Acts of Random Kindness Club, or A.R.K Club, is to uplift all students and staff within Furman University, as well as members of our community, through random and intentional acts of kindness. We wish to promote positivity, unity, and compassion in both learning and non-academic environments. We also wish to enhance Furman University‘s social and academic value by encouraging students to live as positive people and motivators, using kindness to change this world! Some of our goals include: - Placing an emphasis on inclusion and unity - Making a difference in the lives of students and faculty - Spreading joy and fun on our campus in creative ways - Focusing on mental health - Advocating for students through acts of kindness and support Join our ARK Club GroupMe for the 2025-26 school year here! Follow us on the ARK Club Instagram page here! Read our story on Furman News here!","The mission of the Acts of Random Kindness Club is to uplift all students and staff within Furman University, as well as members of our community, through random and intentional acts of kindness! Join us as we promote positivity, compassion, and unity!"
Adelphian and Philosophian Debate Society,APDS,adelphian-and-philosophian-debate-society,Active,Public,Academic;Diversity and Inclusion;Fine Arts;Political,The Adelphian and Philosophian Debate Society is a student-led organization dedicated to creating an open space for debate and conversation on campus. In the past we have attended debate competitions and hosted debate competitions for High Schools. Our faculty advisor is Dr. Brandon Inabinet in the Communications department.,The Adelphian and Philosophian Debate Society is a student-led organization dedicated to creating an open space for debate and conversation on campus.
Admission Ambassadors,Admission Ambassadors,admission-ambassadors,Active,Public,Admissions,"Hi Class of 2025! Admissions Ambassadors is a student group operated out of the Office of Admissions to recruit prospective high school students to Furman. Activities include giving walking/riding tours, hosting lunches, sitting on student panels, assisting with virtual recruiting events, and on-campus major visit events. The Office of Admissions will solicit for new applications at the start of the Fall 2021 school semester for current sophomores, juniors, and seniors. Another application and selection round will take place in Spring 2022!","Student organization to recruit prospective high school students to Furman. Activities include giving walking/riding tours, hosting lunches, sitting on student panels, and major visit events."
Afrikiya ,Afrikiya ,afrikiya,Active,Public,Diversity and Inclusion;Student Diversity Council Organizations,"This organization has the purpose to enlighten Furman campus about African history, countries, cities and the realities of being an African or being from the diaspora. This organization will not tolerate racist comments, discrimination, homophobia, xenophobia and portrayal of stereotypes. For the 2024-2025 Academic Year, we will meet biweekly every Thursday from 5:30 pm - 6:15 pm in HIPP HALL 106. For meeting updates and other important information, join our Groupme chat. Or follow our Instagram: afrikiya_fu.",Student Diversity Council Organization
Alpha Delta Pi,ADPi,furmanalphadeltapi,Active,Public,Fraternities and Sororities;Special Interest,"Here you will find a great group of remarkable, intelligent, and committed young women who are dedicated to their sisters and to Alpha Delta Pi. We strive to make a difference in the lives of the people around us, in our community and on our campus through various activities. <> Be the first. Since 1851.","Established in 1851, Alpha Delta Pi is committed to sisterhood, values and ethics, high academic standards and social responsibility. The Eta Phi Chapter of Alpha Delta Pi at Furman University was established on March 19th, 1994."
Alpha Epsilon Delta,AED,alpha-epsilon-delta,Active,Public,Academic;Community Service;Special Interest,"The objectives of Alpha Epsilon Delta are to encourage excellence in pre-health scholarship, to stimulate an appreciation of the importance of pre-health education, and to promote cooperation and contacts between healthcare professionals and pre-health students. We will host a plethora of events & meetings throughout the semester to advance pre-health goals. Some of our events include Mock Interviews, Mentoring Events, MMI Practice, and a Mock MCAT. Additionally, we host a variety of CLPs, Blood Drives, and other community outreach programs. Please feel free to reach out with any questions you may have. !!! Join Our AED GroupMe !!! Furman AED FAQs","The objectives of this society are to encourage excellence in pre-health scholarship, to stimulate an appreciation of the importance of pre-health education, and to promote cooperation and contacts between healthcare professionals and pre-health students"
"Alpha Kappa Alpha Sorority, Incorporated (Rho Zeta Chapter)",AKA,aka1908,Active,Public,Fraternities and Sororities,"Alpha Kappa Alpha Sorority, Inc., Rho Zeta Chapter was established at Furman University on May 1, 1994 and holds the title as the first, and only, historically African-American sorority chartered on the campus. While historically African American, we welcome members from all ethnic and religious backgrounds.","Alpha Kappa Alpha Sorority, Inc., Rho Zeta Chapter was established at Furman University on May 1,1994 and holds the title as the first, and only, historically African-American sorority chartered on the campus."
Alpha Phi Omega,APO,alpha-phi-omega,Active,Public,Fraternities and Sororities;Diversity and Inclusion;Community Service;Special Interest,"Alpha Phi Omega is a co-ed Service Fraternity open to anyone of any race, gender, sexuality, or affiliation to any other groups on campus (including Greek organizations). Founded in 1925, Alpha Phi Omega is the largest collegiate fraternity in the United States, with chapters at over 350 campuses, an active membership of over 25,000 students, and over 500,000 alumni members. This is the Alpha Eta Nu Chapter, which was first chartered on May 3rd, 2014. Focusing on helping others, our organization is founded on service which facilitates the strong fellowship found between our brothers, best exemplified in our motto, ""Be a leader, be a friend, be of service."" Meetings on Wednesdays at 7 pm in Furman 214","Alpha Phi Omega is a national co-ed service fraternity open to any student regardless of gender, race, sexuality, or other group affiliation. APO is founded in the principles of leadership, friendship, and service."
American Chemical Society,ACS,american-chemical-society,Active,Public,Academic,"The American Chemical Society is a congressionally chartered independent-membership organization which represents professionals at all degree levels in all fields of chemistry and the sciences that involve chemistry. Furman's Student Affiliate chapter of ACS has monthly meetings, numerous social events - from picnics to departmental bake-offs, and outreach opportunities in the Greenville community.","Furman's Student Affiliate chapter of the American Chemical Society has monthly meetings, numerous social events - from picnics to departmental bake-offs, and outreach opportunities in the Greenville community."
