id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
12366444,Chi O Closet,Shop through Chi Omega's closet to support Make-A-Wish! Chi Omega will be providing a thrift closet and hair tinsel to students. All proceeds will benefit Make-A-Wish. This event will be from 11:00-1:30 on April 7th!,Joseph Vaughn Plaza,2026-04-07T15:00:00+00:00,2026-04-07T17:30:00+00:00,Chi Omega,183451,Greek Life Event,Fundraising,Public
12183102,Chi Omega Chapter,The members of Chi Omega meet weekly to discuss updates and happenings.,John's Hall,2026-04-06T22:30:00+00:00,2026-04-06T23:30:00+00:00,Chi Omega,183451,,Social,Public
12183086,Chi Omega Executive Board meeting,This will be a weekly meeting where we will discuss upcoming events and plans for the week,Furman Hall,2026-04-05T23:00:00+00:00,2026-04-06T00:00:00+00:00,Chi Omega,183451,Meeting,ThoughtfulLearning,Public
12186047,Chi Omega Crush,Chi Omega Crush 1 date allowed food and drinks provided Occurring at Zen Greenville in the Lotus Lounge security and cash bar included with venue Uber transportation and 3-4 Chi Omega Advisors supervising drop-off and pickup,Zen Greenville,2026-02-21T00:30:00+00:00,2026-02-21T02:30:00+00:00,Chi Omega,183451,,Social,Public
12183094,Chi Omega Chapter,The members of Chi Omega meet weekly to discuss updates and happenings.,John's Hall,2026-02-02T23:30:00+00:00,2026-02-03T00:30:00+00:00,Chi Omega,183451,,Social,Public
12183076,Chi Omega Executive Board meeting,This will be a weekly meeting where we will discuss upcoming events and plans for the week,Furman Hall,2026-02-02T00:00:00+00:00,2026-02-02T01:00:00+00:00,Chi Omega,183451,Meeting,ThoughtfulLearning,Public
12183077,Chi Omega Executive Board meeting,This will be a weekly meeting where we will discuss upcoming events and plans for the week,Furman Hall,2026-02-02T00:00:00+00:00,2026-02-02T01:00:00+00:00,Chi Omega,183451,Meeting,ThoughtfulLearning,Public
11364387,Chi Omega Chapter,Chapter held by Chi Omega to discuss weekly updates.,John's Hall 101,2025-10-13T22:30:00+00:00,2025-10-14T00:00:00+00:00,Chi Omega,183451,Greek Life Event,Social,Public
11364382,Chi Omega Chapter,Chapter held by Chi Omega to discuss weekly updates.,John's Hall 101,2025-09-08T22:30:00+00:00,2025-09-09T00:00:00+00:00,Chi Omega,183451,Greek Life Event,Social,Public
11180754,Chi Omega Mom's Weekend,Morning yoga and pickleball for Chi Omega Mom's Weekend!,north village pavilion,2025-03-22T14:00:00+00:00,2025-03-22T18:00:00+00:00,Chi Omega,183451,Greek Life Event,Social,Public
11180742,Chi Omega Mom's Weekend,Pickleball and crafts at G Pavilion,North Village Pavillion,2025-03-22T14:00:00+00:00,2025-03-22T18:00:00+00:00,Chi Omega,183451,,Social,Public
10960401,Chi O Meeting,Pre-Initiation Meeting,Johns Hall 101,2025-02-13T22:00:00+00:00,2025-02-13T23:00:00+00:00,Chi Omega,183451,,GroupBusiness,Public
9423430,Chi Omega Wish Week Tabling,Stop by the Chi O table outside the library and enter your name in the raffle! We have some fun and exciting prizes!,James B. Duke Library,2023-09-26T15:30:00+00:00,2023-09-26T17:30:00+00:00,Chi Omega,183451,Greek Life Event,Fundraising,Public
1698588,CLOC!,"Support our local philanthropy the Carolina Lutheran Outreach Center! Three to four sisters volunteer their time weekly to help elementary school students with their homework. Sisters are invited to volunteer any day of the week, but Thursdays are designated as Chi Omega's volunteer day. Questions? Ask community service chair Colleen Roberts!","2600 Wade Hampton Blvd, Greenville, SC",2012-03-29T19:00:00+00:00,2012-03-29T20:00:00+00:00,Chi Omega,183451,,Unknown,Public
1699098,Chapter,,Watkins Room,2012-02-27T01:00:00+00:00,2012-02-27T02:00:00+00:00,Chi Omega,183451,,Unknown,Public
