id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
12211608,Breakfast Bound,This event offers students the opportunity to get a guided tour of Downtown Greenville’s most loved breakfast spots. The tour will take students to three different local spots for a full entree along with coffee or tea.,Downtown Greenville,2026-02-21T13:15:00+00:00,2026-02-21T15:00:00+00:00,Furman University Student Activities Board,183480,Social Programmatic,Social,Public
12072604,Groundhog Day,"Celebrate Groundhog Day with FUSAB! Will the Groundhog see its shadow or not this year!? Luckily, you can celebrate both spring and winter with activities, crafts, and treats. Whether you want 6 more weeks of winter and the snowflakes and sweaters that come with it… or an early spring and the flowers and pastries that follow. Enjoy decorating cookies, cutting snowflakes, painting flower pots, and shopping through a curated winter closet. Don’t miss the Groundhog seeing (or not) its shadow at 12:20!",Joseph Vaughn Plaza (JVP) in front of Duke Library,2026-02-02T16:30:00+00:00,2026-02-02T18:30:00+00:00,Furman University Student Activities Board,183480,,Social,Public
11263027,Flick on G Field,"This is a fun event where we will play the movie 10 Things I Hate About You. There will be a loaded fry food truck, popcorn, candy, and a dirty soda bar.",Furman,2025-04-15T23:30:00+00:00,2025-04-16T01:30:00+00:00,Furman University Student Activities Board,183480,,Social,Public
9371298,Fall Ball,"An event inclusive of our entire community that brings out people from all sides of campus, Fall Ball this year will be a barn dance! Picture a beautiful barn or rustic event venue with fall in the air. Guests will get to experience a fun evening of music and barbeque, with a cash bar for those old enough to partake. Aimed at being a fun Friday night for all of campus, fall ball will yippee chi slay.","Southwind Ranch, Travelers Rest",2023-09-22T23:00:00+00:00,2023-09-23T02:00:00+00:00,Furman University Student Activities Board,183480,,Social,Public
8780508,Mardi Gras,"In collaboration with the Dining Hall, FUSAB’s Mardi Gras will be a celebration of Louisiana culture and traditions. Students will be able to enjoy delicious Mardi Gras food inside the Dining Hall, and then venture outside for festivities and music from a Louisiana-style jazz band. There will be DIY mask stations with rhinestones, glitter, and feathers for students to decorate while they eat and listen to the music. Additionally, there will be a huge king cake, and the student that obtains the baby in the cake will receive a massive prize. Students will not only have fun enjoying food, music, and crafts, but they will leave with more knowledge of Louisiana culture.",Behind Daniel Dining Hall,2023-02-21T22:00:00+00:00,2023-02-22T01:00:00+00:00,Furman University Student Activities Board,183480,,Social,Public
8478237,Asheville ATV Tour,This off-campus event will allow a small group of students to be transported to the mountains outside of Asheville for a private ATV tour led by an experienced guide who is familiar with the area and its history. Students will be able to drive ATVs with the guidance of a liscenced guide from an accredited ATV tour company where they will be able to experience beautiful mountain and forest views in an experience they might never have the chance to pursue again.,"Asheville, North Carolina",2022-10-16T14:00:00+00:00,2022-10-16T19:00:00+00:00,Furman University Student Activities Board,183480,,Social,Public
7754675,Asheville Foodie Day Trip,"This trip allows participating students the opportunity to travel to Ashveille and have a unique experience where they tour a working chocolate factory, have time to explore the many restaurants and around Asheville in their free time, and have an all expenses paid dinner where they get to experience another culture through activities like bellydancing and live music. This trip offers students who are passionate about food the opportunity to travel to one of the foremost “foodie” cities in the south and experience food in ways that they may never have the chance to again.","Asheville, North Carolina",2022-03-26T16:00:00+00:00,2022-03-26T17:00:00+00:00,Furman University Student Activities Board,183480,,Social,Public
7753965,DIY Air Plant Terrariums,"This event gives 150-200 students a chance to decorate and create their own air plant terrarium for their room or dorm! There will be stations set up with all the supplies needed to make the terrarium as cool and personalized as can be! There will be a myriad of decor and objects that students can include inside their terrariums. Plants are scientifically proven to purify the air, increase concentration and productivity, and relieve stress and anxiety: things any student will appreciate.",Duke Library Steps,2022-03-16T15:00:00+00:00,2022-03-16T18:00:00+00:00,Furman University Student Activities Board,183480,,Social,Public
7233094,Low Country Boil,"Smell the cajun seasoning, feel the end of summer air, hear the bluegrass music, and see the bonfire crackle, because FUSAB is going to have us a good ole fashioned Low Country Boil. This event will happen the evening of September 16th complete with some swing music, lights, and comfy outdoor seating to enjoy your dinner and hangout. Envision a long table down the mall piled with all the shrimp, sausage, corn, and potatoes you could eat!",Milford Mall,2021-09-23T22:00:00+00:00,2021-09-24T00:00:00+00:00,Furman University Student Activities Board,183480,,Social,Public
7070614,Comedian Adam Grabowski,"Bringing comedians back to Furman with ADAM GRABOWSKI. This would be a neat event similar to Rocky Horror show where we can provide fun and unique entertainment to campus that has not been seen in a while, all with being able to easily socially distance in on E Field. Come join us for this fun and entertaining show!",E Field,2021-04-15T22:00:00+00:00,2021-04-15T23:30:00+00:00,Furman University Student Activities Board,183480,,Social,Public
