id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
12199774,Wesley Bible Study,"Join us as we discuss the Bible, all are welcome!!",Chapel Lounge,2026-03-20T00:15:00+00:00,2026-03-20T01:15:00+00:00,Furman Wesley Fellowship,183420,,Spirituality,Public
12196648,Wesley Freshman Group,Join us as we eat together in the Paddock!,Paddock,2026-03-19T21:30:00+00:00,2026-03-19T22:30:00+00:00,Furman Wesley Fellowship,183420,Religious,Spirituality,Public
12199771,Wesley Bible Study,"Join us as we discuss the Bible, all are welcome!!",Chapel Lounge,2026-02-20T01:15:00+00:00,2026-02-20T02:15:00+00:00,Furman Wesley Fellowship,183420,,Spirituality,Public
11413975,Freshmen Group,Join us for a weekly devotional geared towards the transition into college life! All faith backgrounds are welcome!,Chapel Lounge of the Chapel,2025-11-20T22:30:00+00:00,2025-11-20T23:30:00+00:00,Furman Wesley Fellowship,183420,Religious,Spirituality,Public
11759420,Trick or Treat with Wesley,Giving out free candy from the Furman Wesley Fellowship!,Joseph Vaughn Plaza,2025-10-31T15:00:00+00:00,2025-10-31T17:00:00+00:00,Furman Wesley Fellowship,183420,,Spirituality,Public
11413968,Freshmen Group,Join us for a weekly devotional geared towards the transition into college life! All faith backgrounds are welcome!,Chapel Lounge of the Chapel,2025-10-09T21:30:00+00:00,2025-10-09T22:30:00+00:00,Furman Wesley Fellowship,183420,Religious,Spirituality,Public
11413966,Freshmen Group,Join us for a weekly devotional geared towards the transition into college life! All faith backgrounds are welcome!,Chapel Lounge of the Chapel,2025-09-25T21:30:00+00:00,2025-09-25T22:30:00+00:00,Furman Wesley Fellowship,183420,Religious,Spirituality,Public
10358607,Wesley Fellowship Weekly Gathering,Each week we gathering in the Garden Room of Daniel Chapel for a time of fellowship and worship.,"Garden Room, Daniel Chapel",2024-10-22T23:45:00+00:00,2024-10-23T00:45:00+00:00,Furman Wesley Fellowship,183420,Religious,Spirituality,Public
10346917,Wesley Fellowship Freshmen Group,Join us for our weekly gathering for our Wesley Freshmen. This is a special time in the week where we help navigate the transitions to college life.,"Chapel Lounge, Daniel Chapel",2024-09-04T21:30:00+00:00,2024-09-04T22:30:00+00:00,Furman Wesley Fellowship,183420,Religious,Spirituality,Public
10278184,Wesley Fellowship Kick-off Event,"Join our Wesley Fellowship on the Front Patio of Daniel Chapel for a night of worship. At Wesley we hope to be a place where all can Be, Belong, Connect, and Engage. We will begin with music, share our hopes for the new year together, and hear a message from our campus minister. This is an invitation to all our Furman family, but not an obligation!",Front Patio of Daniel Chapel,2024-09-03T23:45:00+00:00,2024-09-04T01:15:00+00:00,Furman Wesley Fellowship,183420,Religious,Spirituality,Public
7322576,Wesley Fellowship Gathering,"Join us for a night of worship and fellowship. The Gathering is in the Garden Room of the Chapel at 7:45pm. We will connect with old friends and make new ones, share Joys & Concerns, and then Edward [our campus minister] will offer a short devotional. Of course, all safety protocols will be followed ... so bring your mask!",Garden Room of Chapel,2021-11-10T00:45:00+00:00,2021-11-10T02:15:00+00:00,Furman Wesley Fellowship,183420,Religious,Spirituality,Public
6477409,Wesley Fellowship Gathering,"Join us for a night of LIVE worship and fellowship. We will gather on the lawn behind Daniel Chapel. Look for the tent and lights. Invite any and all as we seek to reconnect with old friends and make new ones. We will be done around 9:15pm. Of course, all safety protocols will be followed ... so bring your mask!",Labyrinth [Lawn] behind Daniel Chapel,2020-10-07T00:00:00+00:00,2020-10-07T01:15:00+00:00,Furman Wesley Fellowship,183420,Religious,Spirituality,Public
6477408,Wesley Fellowship Gathering,"Join us for a night of LIVE worship and fellowship. We will gather on the lawn behind Daniel Chapel. Look for the tent and lights. Invite any and all as we seek to reconnect with old friends and make new ones. We will be done around 9:15pm. Of course, all safety protocols will be followed ... so bring your mask!",Labyrinth [Lawn] behind Daniel Chapel,2020-09-30T00:00:00+00:00,2020-09-30T01:15:00+00:00,Furman Wesley Fellowship,183420,Religious,Spirituality,Public
