id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
12430858,Recruitment Retreat,Recruitment training for the Eta Phi chapter.,Watkins,2026-12-20T15:00:00+00:00,2026-12-20T20:00:00+00:00,Alpha Delta Pi,183311,,ThoughtfulLearning,Public
11972851,Alpha Delta Pi Executive Committee Meeting,Our weekly executive meeting before chapter.,Furman 214,2026-02-01T22:00:00+00:00,2026-02-01T23:00:00+00:00,Alpha Delta Pi,183311,,GroupBusiness,Public
11597294,Pie a Pi- Alpha Delta Pi,"Alpha Delta Pi will host an on campus opportunity for community members to pie sisters and fellow campus members, with all money benefitting the Ronald McDonald House Charities of the Carolinas.",Trone Student Center Patio,2025-09-25T15:00:00+00:00,2025-09-25T17:45:00+00:00,Alpha Delta Pi,183311,Community Service,CommunityService,Public
11597351,Get Charmed by RMHC- Alpha Delta Pi,Alpha Delta Pi in collaborating with the Traveling Penny GVL will provide a charm bar (via charm truck) on campus and available for community members to create their own charm bracelet/necklace. 10% of all proceed sales will go to the Ronald McDonald House Charities of the Carolinas.,James B Duke Library Patio,2025-09-24T15:00:00+00:00,2025-09-24T17:45:00+00:00,Alpha Delta Pi,183311,,CommunityService,Public
11181243,Formal,"Our formal will be held from 6-10 pm on March 21, 2025, at the Historic Hampton House 1908.",Historic Hampton House 1908,2025-03-21T22:00:00+00:00,2025-03-22T02:00:00+00:00,Alpha Delta Pi,183311,Greek Life Event,Social,Public
10758833,Holiday Decorating for RMHC,Decorating the RMHC house for the holidays,RMHC carolinas,2024-12-07T21:00:00+00:00,2024-12-07T23:00:00+00:00,Alpha Delta Pi,183311,,CommunityService,Public
10231949,ADPi chapter meetings,Chapter Meeting,Furman 214,2024-11-10T22:00:00+00:00,2024-11-10T23:00:00+00:00,Alpha Delta Pi,183311,,GroupBusiness,Public
10490862,Wednesday Walks,"Every Wednesday sisters are invited to go on a walk with one another at 7:45 am. We are planning to meet in North Village behind D. Running first thing in the morning can lead to spikes in cortisol causing headaches, high blood pressure, and mood changes. Morning walks have many health benefits such as regulating one's sleep schedule, improving one's mood and decreasing anxiety, increasing energy, increasing brain function, etc. We are using this as a stress-reliever for our sisters!",Furman Lake Trail,2024-10-23T11:45:00+00:00,2024-10-23T12:45:00+00:00,Alpha Delta Pi,183311,,Athletics,Public
10530332,Diamond Dash - Alpha Delta Pi Philanthropy Week,"On October 22nd, we will have the Diamond Dash. This event is a run/walk around Furman’s lake. We are hoping to have Alpha Delta Pi alumnae come out and participate along with Furman’s campus. This event will be fundraised either by ticket sales or crowd change. We are planning to have waivers for this day. Check in will start at 2 pm. We do not believe the event will take until 6 pm but wanted to give extra time for people to socialize and take pictures, while allowing plenty of time to clean up at the end.",Trone Student Center Hill Courtyards 1 and 2,2024-10-22T17:00:00+00:00,2024-10-22T22:00:00+00:00,Alpha Delta Pi,183311,Greek Life Event,Fundraising,Public
10530113,Diamond Dash - Alpha Delta Pi Philanthropy Week,"On Tuesday, we will have the Diamond Dash. This event is a run/walk around Furman’s lake. We are hoping to have alumnae come out and participate along with Furman’s campus. This event will be fundraised either by ticket sales or crowd change. We are planning to have waivers for this day. We have the space reserved from 1-6:30 pm; however, the event will start at 2 pm and go until people are done with their run/walk around the Furman lake.",Trone Student Center Hill Courtyards 1 and 2,2024-10-22T18:00:00+00:00,2024-10-22T19:00:00+00:00,Alpha Delta Pi,183311,Greek Life Event,Fundraising,Public
10231942,ADPi chapter meetings,Chapter Meeting,Furman 214,2024-09-22T21:00:00+00:00,2024-09-22T22:00:00+00:00,Alpha Delta Pi,183311,,GroupBusiness,Public
10043386,RMHC Princess Visit #2,"Two sisters of Alpha Delta Pi will appear as Cinderella and Belle, accompanied by at least one other sister or character attendant. The goal of this visit is to sit with the families, color, sing, dance, and bring some brightness to their day. RMHCC is so excited about this idea. All dresses used are provided and donated by Evie Crumrine.",Ronald McDonald House,2024-03-25T20:30:00+00:00,2024-03-25T21:30:00+00:00,Alpha Delta Pi,183311,,CommunityService,Public
10021362,Chapter Meeting,Weekly chapter meeting,Furman Hall 214,2024-03-24T20:30:00+00:00,2024-03-24T23:00:00+00:00,Alpha Delta Pi,183311,,GroupBusiness,Public
9928035,Galentines,Making Flower Bouquets for Friends!,Thomas Room,2024-02-14T01:00:00+00:00,2024-02-14T03:00:00+00:00,Alpha Delta Pi,183311,,Social,Public
9603244,Semi Formal,Alpha Delta Pi will host a semiformal in November for the chapter and their dates.,Zen,2023-11-18T00:30:00+00:00,2023-11-18T03:30:00+00:00,Alpha Delta Pi,183311,Greek Life Event,Social,Public
7574243,Dress Fly with ADPi and Sigma Chi,"Alpha Delta Pi and Sigma Chi are hosting a charity fashion show. Come watch members from each chapter models clothes from local Greenville stores. After the show, students have exclusive access to clothes from the stores. All proceeds from tickets and clothing sales will benefit RMHC of the Carolinas and Huntsman Cancer Foundation.",McAlister Auditorium,2021-11-10T00:00:00+00:00,2021-11-10T02:00:00+00:00,Alpha Delta Pi,183311,,Fundraising,Public
7404120,Stop the Hazing Campaign,Members of Alpha Delta Pi will be tabling in honor of the Max Gruver Foundation in a pledge against hazing. Furman students will be encouraged to sign a paper hand as a pledge against hazing and will have the opportunity to learn about hazing myths.,Joseph Vaughn Plaza,2021-09-24T16:00:00+00:00,2021-09-24T18:00:00+00:00,Alpha Delta Pi,183311,Greek Life Event,ThoughtfulLearning,Public
7404119,Stop the Hazing Campaign,Members of Alpha Delta Pi will be tabling in honor of the Max Gruver Foundation in a pledge against hazing. Furman students will be encouraged to sign a paper hand as a pledge against hazing and will have the opportunity to learn about hazing myths.,Joseph Vaughn Plaza,2021-09-22T16:00:00+00:00,2021-09-22T18:00:00+00:00,Alpha Delta Pi,183311,Greek Life Event,ThoughtfulLearning,Public
