id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
12360817,Greek Groove,Annual Greek Life event hosted by Panhellenic and IFC at which Greek organizations participate in a dance competition. Tickets to the event will be sold at the event.,Furman Amphitheater,2026-04-07T23:00:00+00:00,2026-04-08T00:30:00+00:00,Panhellenic Council,183340,Greek Life Event,Social,Public
12265855,Formal Dress Drive Donation and Rental Drop Off,"We are hosting a dress drive for girls to donate or offer their dresses for rental for other girls to wear during the Greek life formal season! This is solely for dress drop-off, not shopping/selecting dresses yet!",Greek Life Office in Trone in Student Org Commons,2026-02-20T15:45:00+00:00,2026-02-20T18:00:00+00:00,Panhellenic Council,183340,,Social,Public
7601305,Greek Groove,Greek sororities and fraternities will have a dance competition for charity on Tuesday Nov 16 at 7:00-9:00. All are welcome and encouraged to come out and support.,McAlister,2021-11-17T00:00:00+00:00,2021-11-17T02:00:00+00:00,Panhellenic Council,183340,Greek Life Event,Fundraising,Public
7601302,Kickball Kickoff for Greek Week,Fraternities and sororities will get up to the plate to kick off the infamous Greek Week. They will compete in a classic round robin of kickball at the north village fields at 7:00 on Monday Nov 15!,North Village Field 1,2021-11-16T00:00:00+00:00,2021-11-16T01:00:00+00:00,Panhellenic Council,183340,Greek Life Event,Athletics,Public
7056039,Yoga at the Amphitheater,"This event will be a yoga night, with a Furman student yoga instructor. This particular event is to be a part of Panhellenic and IFC’s philanthropy event of the semester and we will be the sponsors. The nonprofit we are supporting is Mental Health America of Greenville County. We are also using this time to help students destress and find good coping mechanisms for dealing with mental health.",Amphitheater,2021-04-15T22:00:00+00:00,2021-04-15T23:00:00+00:00,Panhellenic Council,183340,,Fundraising,Public
1695755,Kappa Delta Initiation,,No location specified,2013-03-20T23:00:00+00:00,2013-03-21T00:00:00+00:00,Panhellenic Council,183340,,Unknown,Public
1695222,Kappa Initiation,,No location specified,2013-03-15T23:15:00+00:00,2013-03-16T00:15:00+00:00,Panhellenic Council,183340,,Unknown,Public
1698076,Panhellenic Council Meeting,,No location specified,2013-03-14T21:30:00+00:00,2013-03-14T22:30:00+00:00,Panhellenic Council,183340,,Unknown,Public
1696608,Panhellenic Exec Council Interviews,,No location specified,2013-01-24T05:00:00+00:00,2013-01-25T05:00:00+00:00,Panhellenic Council,183340,,Unknown,Public
1700721,Panhellenic Council Meeting,,No location specified,2013-01-24T22:30:00+00:00,2013-01-24T23:30:00+00:00,Panhellenic Council,183340,,Unknown,Public
1696081,Panhellenic Council Applications Due,Due at 5pm to Panhellenic Mailbox #28534,No location specified,2013-01-22T04:00:00+00:00,2013-01-22T05:00:00+00:00,Panhellenic Council,183340,,Unknown,Public
1695979,MLK Holiday,,No location specified,2013-01-21T05:00:00+00:00,2013-01-21T05:00:00+00:00,Panhellenic Council,183340,,Unknown,Public
1695677,Bid Day!,,No location specified,2013-01-20T19:30:00+00:00,2013-01-20T20:30:00+00:00,Panhellenic Council,183340,,Unknown,Public
1699078,Panhellenic Council Meeting,,No location specified,2012-11-29T22:30:00+00:00,2012-11-29T23:30:00+00:00,Panhellenic Council,183340,,Unknown,Public
1697355,AZ Fashion Show,,No location specified,2012-11-29T00:00:00+00:00,2012-11-29T01:00:00+00:00,Panhellenic Council,183340,,Unknown,Public
1695676,Panhellenic Registration Fee increases,,No location specified,2012-10-31T04:00:00+00:00,2012-10-31T04:00:00+00:00,Panhellenic Council,183340,,Unknown,Public
1695476,Panhellenic Recruitment Registration Opens,,No location specified,2012-09-01T04:00:00+00:00,2012-09-01T04:00:00+00:00,Panhellenic Council,183340,,Unknown,Public
