id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
10207740,Program Council,ZTA Program Council meeting.,Johns 101,2024-12-08T22:00:00+00:00,2024-12-08T23:00:00+00:00,Zeta Tau Alpha,183424,,GroupBusiness,Public
10207748,Belonging Committee Meeting,ZTA's Belonging Committee meeting.,Johns 101,2024-12-08T21:30:00+00:00,2024-12-08T22:30:00+00:00,Zeta Tau Alpha,183424,,GroupBusiness,Public
10207711,Chapter,ZTA Chapter Meeting.,Johns 101,2024-11-04T00:00:00+00:00,2024-11-11T01:00:00+00:00,Zeta Tau Alpha,183424,,GroupBusiness,Public
10207712,Chapter,ZTA Chapter Meeting.,Johns 101,2024-11-11T00:00:00+00:00,2024-11-11T01:00:00+00:00,Zeta Tau Alpha,183424,,GroupBusiness,Public
10207725,Executive Committee Meeting,Executive Committee Meeting.,Johns 101,2024-11-10T23:00:00+00:00,2024-11-11T00:00:00+00:00,Zeta Tau Alpha,183424,,GroupBusiness,Public
10207737,Program Council,ZTA Program Council meeting.,Johns 101,2024-11-10T22:00:00+00:00,2024-11-10T23:00:00+00:00,Zeta Tau Alpha,183424,,GroupBusiness,Public
10606041,ZTA Bra Pong,Compete against ZTA's in a game a bra pong! All funds raised will be donated to Breast Cancer Education and Awareness!,Joseph Vaughn Plaza,2024-10-23T15:30:00+00:00,2024-10-23T18:30:00+00:00,Zeta Tau Alpha,183424,,Fundraising,Public
10607063,ZTA Krispy Kreme Sale,Selling Krispy Kreme donuts to raise money for Breast Cancer Education and Awareness! All funds raised will be donated to charity.,Joseph Vaughn Plaza,2024-10-22T15:30:00+00:00,2024-10-22T18:00:00+00:00,Zeta Tau Alpha,183424,,Fundraising,Public
10207706,Chapter,ZTA Chapter Meeting.,Johns 101,2024-09-22T23:00:00+00:00,2024-09-23T00:00:00+00:00,Zeta Tau Alpha,183424,,GroupBusiness,Public
10207718,Executive Committee Meeting,Executive Committee Meeting.,Johns 101,2024-09-22T22:00:00+00:00,2024-09-22T23:00:00+00:00,Zeta Tau Alpha,183424,,GroupBusiness,Public
10207730,Program Council,ZTA Program Council meeting.,Johns 101,2024-09-22T21:00:00+00:00,2024-09-22T22:00:00+00:00,Zeta Tau Alpha,183424,,GroupBusiness,Public
10207742,Belonging Committee Meeting,ZTA's Belonging Committee meeting.,Johns 101,2024-09-22T20:30:00+00:00,2024-09-22T21:30:00+00:00,Zeta Tau Alpha,183424,,GroupBusiness,Public
10005263,Chapter,Zeta Tau Alpha Chapter with all general members.,Johns Hall 101,2024-03-24T23:00:00+00:00,2024-03-25T00:00:00+00:00,Zeta Tau Alpha,183424,Greek Life Event,GroupBusiness,Public
10005258,Executive Committee Meeting,ZTA exec committee weekly meeting.,Johns Hall 101,2024-03-24T22:00:00+00:00,2024-03-24T23:00:00+00:00,Zeta Tau Alpha,183424,,GroupBusiness,Public
10005253,Programs Council Meeting,ZTA's programs council meeting.,Johns Hall 101,2024-03-24T21:00:00+00:00,2024-03-24T22:00:00+00:00,Zeta Tau Alpha,183424,,GroupBusiness,Public
